Title,Author,Genre,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Date Read,Date Added,Exclusive Shelf
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,History,9781620971932,5,4.52,The New Press Inc.,Hardcover,290.0,,2022/05/08,read
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,Science,9780739467350,0,04.04,W.W. Norton & Company,Paperback,498.0,,2022/06/16,to-read
The Dawn of Everything: A New History of Humanity,David Graeber,History,9780374157357,0,4.2,"Farrar, Straus and Giroux",Hardcover,692.0,,2022/06/16,to-read
Distinction: A Social Critique of the Judgement of Taste,Pierre Bourdieu,Essays,9780674212770,4,4.14,Harvard University Press,Paperback,613.0,,2022/03/17,read
Wuthering Heights,Emily Brontë,Classics,9781989201657,0,3.88,Norton,Paperback,464.0,,2022/06/08,to-read
When Breath Becomes Air,Paul Kalanithi,Memoir,9780812988406,4,4.39,Random House,Kindle Edition,208.0,,2022/04/26,read
Gut: The Inside Story of Our Body's Most Underrated Organ,Giulia Enders,Science,9781771641494,4,04.07,Greystone Books,Paperback,273.0,,2022/02/15,read
A Memoir of Jane Austen and Other Family Recollections,James Edward Austen-Leigh,Biography,9780192840745,0,3.82,Oxford University Press,Paperback,352.0,,2022/05/23,to-read
The Sympathizer,Viet Thanh Nguyen,Classics,9780802123459,0,4.0,Grove Press,Hardcover,371.0,,2022/05/23,to-read
A Room of One's Own,Virginia Woolf,Essays,9789176376010,5,4.2,Penguin Books,Paperback,112.0,,2022/04/26,read
"User Friendly: How the Hidden Rules of Design Are Changing the Way We Live, Work, and Play",Cliff Kuang,Business & Economics,9781250758200,0,4.15,MCD,Hardcover,416.0,,2022/05/17,to-read
"Nine Pints: A Journey Through the Money, Medicine, and Mysteries of Blood",Rose George,Science,9781627796378,0,3.82,Metropolitan Books,Hardcover,289.0,,2022/05/08,to-read
Changing My Mind: Occasional Essays,Zadie Smith,Essays,9781594202377,4,3.83,The Penguin Press HC,Hardcover,320.0,,2021/12/16,read
The Extended Phenotype: The Long Reach of the Gene (Popular Science),Richard Dawkins,Science,9780192880512,0,4.11,Oxford University Press,Paperback,336.0,,2022/05/04,to-read
Never Let Me Go,Kazuo Ishiguro,Contemporary Fiction,9780307400994,4,3.84,Vintage Books,Paperback,288.0,,2022/05/01,read
Intimations,Zadie Smith,Essays,9780593297612,4,04.02,Penguin Books,Paperback,97.0,,2022/03/01,read
The Waves,Virginia Woolf,Classics,9780156949606,0,4.15,Harvest Books,Paperback,297.0,,2022/04/27,to-read
"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,Education,9781592402038,0,3.86,The Penguin Group,Paperback,209.0,,2022/04/26,to-read
The Glass Castle,Jeannette Walls,Memoir,9780743247542,0,4.3,Scribner,Paperback,288.0,,2022/04/26,to-read
A Brief History of Time,Stephen Hawking,Science,9780553380163,0,4.21,Bantam Books,Paperback,226.0,,2022/04/26,to-read
True Biz,Sara Nović,Contemporary Fiction,9780593241509,0,4.12,Random House,Hardcover,386.0,,2022/04/26,to-read
Conversations with Friends,Sally Rooney,Contemporary Fiction,9780451499066,4,3.79,Hogarth,Kindle Edition,304.0,,2022/04/25,read
Principles: Life and Work,Ray Dalio,Self Help,9781508243243,0,4.12,Simon & Schuster Audio,Audio CD,592.0,,2022/04/21,to-read
"The Narrow Corridor: States, Societies, and the Fate of Liberty",Daron Acemoğlu,History,9780735224384,4,4.23,Penguin,Kindle Edition,560.0,,2020/05/20,read
Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics,Tim  Marshall,Business & Economics,9781783961412,0,4.2,Elliott & Thompson,Hardcover,256.0,,2022/04/18,to-read
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,Business & Economics,9780307719218,0,04.08,Currency,Hardcover,529.0,,2022/04/18,to-read
Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty,Abhijit V. Banerjee,Business & Economics,9781586487980,0,4.28,PublicAffairs,Hardcover,320.0,,2022/04/17,to-read
Writers & Lovers,Lily King,Contemporary Fiction,9781443460385,4,04.04,Grove Press,Hardcover,320.0,,2022/01/18,read
Five Tuesdays in Winter,Lily King,Contemporary Fiction,9780802158765,0,3.75,Grove Press,Hardcover,240.0,,2022/04/13,to-read
The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,Self Help,9781538754238,3,4.11,Twelve,Kindle Edition,273.0,,2022/01/25,read
Tender is the Flesh,Agustina Bazterrica,Thriller,9781982150921,0,3.85,Scribner,Paperback,209.0,,2022/04/06,to-read
Three Rooms,Jo Hamya,Contemporary Fiction,9780358572091,0,3.13,Mariner Books,Hardcover,208.0,,2022/04/01,to-read
A Thousand Splendid Suns,Khaled Hosseini,Historical Fiction,9781594489501,5,4.42,Riverhead Books,Hardcover,372.0,,2021/12/15,read
A Thousand Brains: A New Theory of Intelligence,Jeff Hawkins,Science,9781541675810,4,04.07,Basic Books,Hardcover,288.0,,2021/12/02,read
The Undying,Anne Boyer,Memoir,9781250757982,0,4.17,,Paperback,320.0,,2022/03/27,to-read
The Collected Stories of Lydia Davis,Lydia Davis,Essays,9780374270605,0,4.26,"Farrar, Straus and Giroux",Hardcover,733.0,,2022/03/27,to-read
Cultish: The Language of Fanaticism,Amanda Montell,Psycology,9780062993151,4,3.93,Harper Wave,Hardcover,309.0,,2021/11/08,read
Minor Feelings: An Asian American Reckoning,Cathy Park Hong,Essays,9781984820365,5,4.23,One World,Hardcover,209.0,,2021/05/06,read
Crying in H Mart,Michelle Zauner,Memoir,9780525657743,5,4.29,Knopf,Hardcover,256.0,,2022/01/12,read
Humble Pi: A Comedy of Maths Errors,Matt    Parker,Science,9780241360194,3,4.11,ALLEN LANE,Paperback,314.0,,2022/01/25,read
The WEIRDest People in the World: How the West Became Psychologically Peculiar and Particularly Prosperous,Joseph Henrich,History,9781250800077,3,4.14,"Farrar, Straus and Giroux",Kindle Edition,704.0,,2022/01/17,read
Orbiting Jupiter,Gary D. Schmidt,Contemporary Fiction,9780544938397,0,4.23,Clarion Books,Kindle Edition,183.0,,2022/02/23,to-read
War Doctor: Surgery on the Front Line,David Nott,Memoir,9781509837021,5,4.55,Picador,Hardcover,355.0,,2022/02/18,read
Woe from Wit,Alexander Griboyedov,Classics,9785519578271,5,4.16,Book on Demand Ltd.,Hardcover,464.0,,2022/02/17,read
The Night Watchman,Louise Erdrich,Historical Fiction,9780062671202,0,4.12,HarperCollins,ebook,464.0,,2022/02/16,to-read
Aug 9 - Fog⁠,Kathryn Scanlan,Contemporary Fiction,9780374106874,0,3.55,MCD,Hardcover,128.0,,2022/02/15,to-read
We're All in This Together: A Novella and Stories,Owen King,Contemporary Fiction,9781582345888,0,3.47,Bloomsbury Publishing PLC,Paperback,229.0,,2022/02/15,to-read
The Committed,Viet Thanh Nguyen,Classics,9780802157065,0,3.96,Grove Press,Hardcover,345.0,,2022/02/15,to-read
The Sentence,Louise Erdrich,Contemporary Fiction,9780062671127,0,3.99,Harper,Hardcover,387.0,,2022/02/15,to-read
Klara and the Sun,Kazuo Ishiguro,Contemporary Fiction,9780593318171,4,3.76,Alfred A. Knopf,Hardcover,303.0,,2022/02/01,read
The Picture of Dorian Gray,Oscar Wilde,Classics,9781774262535,0,4.12,Random House: Modern Library,Paperback,272.0,,2022/02/03,read
How to Be a Stoic: Using Ancient Philosophy to Live a Modern Life,Massimo Pigliucci,Self Help,9780465097951,2,04.06,Basic Books,Hardcover,288.0,,2021/12/04,read
Peach Blossom Spring,Melissa Fu,Contemporary Fiction,9780316286732,0,4.21,"Little, Brown and Company",Hardcover,400.0,,2022/01/26,to-read
The Great Alone,Kristin Hannah,Contemporary Fiction,9781250229533,0,4.39,St. Martin's Press,Kindle Edition,435.0,,2022/01/24,to-read
Exhalation,Ted Chiang,Contemporary Fiction,9781101972083,4,4.28,Knopf,Kindle Edition,368.0,,2021/12/14,read
"Girl, Woman, Other",Bernardine Evaristo,Essays,9780241364901,0,4.31,Hamish Hamilton,Hardcover,453.0,,2022/01/18,to-read
In Cold Blood,Truman Capote,True Crime,9780679745587,0,04.08,Vintage,Paperback,343.0,,2022/01/18,to-read
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,Classics,9780553279375,0,4.28,Bantam Books,Paperback,289.0,,2022/01/15,to-read
The Namesake,Jhumpa Lahiri,Contemporary Fiction,9780618485222,0,04.01,Mariner / Houghton Mifflin,Paperback,291.0,,2022/01/15,to-read
The Reading List,Sara Nisha Adams,Contemporary Fiction,9780063025288,5,04.09,William Morrow,Hardcover,368.0,,2021/08/09,read
Trick Mirror: Reflections on Self-Delusion,Jia Tolentino,Essays,9780525510543,3,04.07,Random House,Hardcover,303.0,,2021/12/14,read
Numbers Don't Lie: 71 Things You Need to Know About the World,Vaclav Smil,Business & Economics,9780241454411,4,3.84,Viking,Hardcover,384.0,,2021/09/30,read
A Promised Land,Barack Obama,Memoir,9781524763169,5,4.35,Crown,Kindle Edition,768.0,,2021/08/08,read
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,Memoir,9781501135910,5,4.47,Scribner,Hardcover,400.0,,2022/01/07,read
Flights,Olga Tokarczuk,Contemporary Fiction,9780525534198,0,3.76,Riverhead Books,Hardcover,416.0,,2022/01/07,to-read
Memory Speaks: On Losing and Reclaiming Language and Self,Julie Sedivy,Memoir,9780674980280,0,4.11,Belknap Press,Hardcover,368.0,,2022/01/07,to-read
Aware: The Science and Practice of Presence--A Complete Guide to the Groundbreaking Wheel of Awareness Meditation Practice,Daniel J. Siegel,Science,9781101993040,0,3.56,TarcherPerigee,Kindle Edition,397.0,,2022/01/03,to-read
The Fire Next Time,James Baldwin,Classics,9780679744726,0,4.54,Vintage,Paperback,106.0,,2021/12/16,to-read
A Visit from the Goon Squad,Jennifer Egan,Contemporary Fiction,9780307592835,0,3.69,Knopf,Hardcover,274.0,,2021/12/14,to-read
The Office of Historical Corrections,Danielle  Evans,Contemporary Fiction,9781594487330,5,4.21,Riverhead Books,Hardcover,269.0,,2021/07/10,read
I Like to Watch: Arguing My Way Through the TV Revolution,Emily Nussbaum,Essays,9780525508960,0,3.98,Random House,Hardcover,384.0,,2021/12/12,to-read
"She Who Became the Sun (The Radiant Emperor, #1)",Shelley Parker-Chan,Fantasy,9781250621801,4,3.89,Tor Books,Kindle Edition,416.0,,2021/12/11,read
Against Everything: Essays,Mark Greif,Essays,9781101871157,3,3.64,Pantheon Books,Hardcover,320.0,,2021/10/20,read
Happy Hour,Marlowe Granados,Contemporary Fiction,9781989919002,5,3.59,Flying Books,Paperback,280.0,,2021/08/27,read
Fried Green Tomatoes at the Whistle Stop Cafe (Whistle Stop #1),Fannie Flagg,Contemporary Fiction,9780375508417,4,4.28,Random House,Hardcover,416.0,,2018/11/29,read
The Ecology of Commerce,Paul Hawken,Business & Economics,9780887307041,3,4.11,HarperBusiness,Paperback,272.0,,2021/10/01,read
The Last Black Unicorn,Tiffany Haddish,Memoir,9781501181825,0,3.84,Gallery Books,Hardcover,288.0,,2021/08/24,to-read
The Remains of the Day,Kazuo Ishiguro,Contemporary Fiction,9780345809322,5,4.14,Faber & Faber,Paperback,258.0,,2021/07/28,read
"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,Business & Economics,9780060889579,0,4.0,William Morrow,Hardcover,270.0,,2021/08/08,read
Creative Confidence: Unleashing the Creative Potential Within Us All,Tom Kelley,Business & Economics,9780385349369,0,3.99,Currency,Kindle Edition,306.0,,2021/08/08,to-read
Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,Business & Economics,9781984878106,0,4.24,Viking,Kindle Edition,319.0,,2021/08/08,to-read
The Witch of Portobello,Paulo Coelho,Contemporary Fiction,9780007251865,3,3.55,,Hardcover,320.0,,2016/04/01,read
Normal People,Sally Rooney,Contemporary Fiction,9781984822178,4,3.81,Hogarth,Hardcover,273.0,,2021/08/04,read
Becoming,Michelle Obama,Memoir,9781524763138,5,4.48,Crown,Hardcover,426.0,,2021/06/23,read
Commonwealth,Ann Patchett,Contemporary Fiction,9780062491794,2,3.82,Harper,Hardcover,322.0,,2019/06/22,read
Utopia for Realists: How We Can Build the Ideal World,Rutger Bregman,Business & Economics,9780316471916,4,4.23,"Little, Brown and Company",Kindle Edition,262.0,2021/07/20,2021/06/14,read
Why Time Flies: A Mostly Scientific Investigation,Alan Burdick,Science,9781416540274,0,3.43,Simon  Schuster,Hardcover,320.0,,2021/06/14,to-read
Anxious People,Fredrik Backman,Contemporary Fiction,9781982169633,4,4.19,Atria Books,Hardcover,336.0,2021/06/14,2021/05/19,read
Sapiens: A Brief History of Humankind,Yuval Noah Harari,History,9780771038518,5,4.38,Vintage,Paperback,512.0,,2021/05/31,read
Winners Take All: The Elite Charade of Changing the World,Anand Giridharadas,Business & Economics,9780451493248,4,4.15,Knopf,Hardcover,288.0,,2021/01/15,read
Such a Fun Age,Kiley Reid,Contemporary Fiction,9780525541912,4,3.81,G.P. Putnam's Sons,Hardcover,310.0,,2021/02/06,read
The Selfish Gene,Richard Dawkins,Science,9780199291151,0,4.15,Oxford University Press,Paperback,360.0,,2020/04/22,read
How to Win Friends and Influence People,Dale Carnegie,Social Science,9780671027032,4,4.22,Gallery Books,Paperback,288.0,,2020/07/06,read
Think Like a Freak,Steven D. Levitt,Social Science,9780062218360,0,3.86,William Morrow,ebook,304.0,,2020/06/26,to-read
Small Great Things,Jodi Picoult,Contemporary Fiction,9780345544957,5,4.35,Ballantine Books,Hardcover,480.0,,2020/04/22,read
Pride and Prejudice,Jane Austen,Classics,9781774266380,5,4.28,Modern Library,Paperback,279.0,,2016/04/01,read
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,Business & Economics,9780061234002,5,4.0,William Morrow,Hardcover,268.0,,2018/11/29,read
Mindsight: The New Science of Personal Transformation,Daniel J. Siegel,Science,9780553804706,5,4.13,Bantam,Hardcover,336.0,,2020/04/22,read
Outliers: The Story of Success,Malcolm Gladwell,Social Science,9780316017923,5,4.19,"Little, Brown and Company",Hardcover,309.0,,2020/05/12,read
Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,Business & Economics,9781473637467,5,4.36,Sceptre,Hardcover,342.0,,2020/05/20,read
The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,Social Science,9780812973815,0,3.95,Random House,Hardcover,366.0,,2020/06/20,to-read
Cloud Atlas,David Mitchell,Contemporary Fiction,9780375507250,0,04.01,Random House,Paperback,509.0,,2020/06/09,to-read
"Dandelion Wine (Green Town, #1)",Ray Bradbury,Contemporary Fiction,9780671037703,0,04.08,Earthlight (UK),Paperback,239.0,,2020/06/09,to-read
Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit V. Banerjee,Business & Economics,9781610399500,0,4.24,PublicAffairs,Kindle Edition,417.0,,2020/05/19,to-read
The Things They Carried,Tim O'Brien,Contemporary Fiction,9780767902892,4,4.14,Broadway,Paperback,246.0,,2020/05/15,read
The Goldfinch,Donna Tartt,Contemporary Fiction,9780316055437,2,3.93,"Little, Brown",Hardcover,864.0,,2020/05/15,read
War and Peace,Leo Tolstoy,Classics,9780199232765,3,4.15,Oxford University Press,Paperback,1392.0,,2020/05/15,read
The Master and Margarita,Mikhail Bulgakov,Classics,9780679760801,4,4.29,Vintage International,Paperback,372.0,,2020/05/15,read
The Perks of Being a Wallflower,Stephen Chbosky,Contemporary Fiction,9780671027346,4,4.22,MTV Books/Pocket Books,Paperback,213.0,,2020/05/15,read
Great Expectations,Charles Dickens,Classics,9780192833594,3,3.79,Oxford University Press,Paperback,544.0,,2016/04/01,read
"Angels & Demons (Robert Langdon, #1)",Dan Brown,Contemporary Fiction,9781416524793,0,3.93,Pocket Books,Mass Market Paperback,736.0,,2020/05/15,read
The Great Gatsby,F. Scott Fitzgerald,Classics,9781954839243,3,3.93,Scribner,Paperback,180.0,,2020/05/15,read
1984,George Orwell,Classics,9791259912749,3,4.19,Houghton Mifflin Harcourt,Kindle Edition,298.0,,2020/05/15,read
Three Comrades,Erich Maria Remarque,Contemporary Fiction,9780449912423,0,4.48,Random House Trade Paperbacks,Paperback,496.0,,2020/05/15,to-read
How Bad Are Bananas?: The Carbon Footprint of Everything,Mike Berners-Lee,Business & Economics,9781846688911,3,3.91,Profile Books,Paperback,256.0,,2017/08/28,read
"Watership Down (Watership Down, #1)",Richard  Adams,Contemporary Fiction,9780380395866,4,04.08,Avon Books,Mass Market Paperback,478.0,,2017/07/12,read
Freakonomics + Superfreakonomics,Steven D. Levitt,Business & Economics,9788535256086,5,4.28,Campus-Elsevier,Paperback,561.0,,2018/11/29,read
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Sam Kean,Science,9780316051644,0,3.92,"Little, Brown and Company",Hardcover,394.0,,2020/05/13,to-read
Red at the Bone,Jacqueline Woodson,Contemporary Fiction,9780525535270,0,3.99,Riverhead Books,Hardcover,196.0,,2020/04/28,to-read
"Set Phasers on Stun: And Other True Tales of Design, Technology and Human Error",Steven Casey,Social Science,9780963617880,5,04.05,Aegean,Hardcover,251.0,,2020/04/22,read
Arch of Triumph: A Novel of a Man Without a Country,Erich Maria Remarque,Contemporary Fiction,9780449912454,5,4.42,Random House Trade Paperbacks,Paperback,464.0,,2020/04/22,read
Counting by 7s,Holly Goldberg Sloan,Contemporary Fiction,9780803738553,5,4.15,Rocky Pond Books,Hardcover,380.0,,2018/11/29,read
Little Fires Everywhere,Celeste Ng,Contemporary Fiction,9780735224292,4,04.08,Penguin Press,Hardcover,338.0,,2019/08/11,read
The Great Pretenders,Laura Kalpakian,Contemporary Fiction,9781101990186,3,3.74,Berkley,Paperback,400.0,,2019/08/21,read
"Ask Again, Yes",Mary Beth Keane,Contemporary Fiction,9781982106980,4,3.94,Scribner,Hardcover,390.0,,2020/04/22,read
A Man Called Ove,Fredrik Backman,Contemporary Fiction,9781476738017,5,4.38,Atria Books,Hardcover,337.0,,2019/06/22,read
The Story of Sushi: An Unlikely Saga of Raw Fish and Rice,Trevor Corson,History,9780060883515,0,3.77,Harper Perennial,Paperback,416.0,,2018/12/01,to-read
The Design of Everyday Things,Donald A. Norman,Social Science,9780465067107,0,4.15,Basic Books,Paperback,240.0,,2017/06/03,read
Transformative Scenario Planning: Working Together to Change the Future,Adam Kahane,Business & Economics,9781609944902,0,04.03,Berrett-Koehler Publishers,Paperback,152.0,,2018/06/05,read
A Field Guide to Lies: Critical Thinking in the Information Age,Daniel J. Levitin,Social Science,9780525955221,0,3.76,Dutton,Hardcover,292.0,,2016/11/11,to-read
Flowers for Algernon,Daniel Keyes,Contemporary Fiction,9780151001637,5,4.19,Harvest Books,Paperback,311.0,,2016/08/03,read
Martin Eden,Jack London,Classics,9781502977526,4,4.47,Penguin,Paperback,480.0,2016/07/20,2016/07/07,read
The Known World,Edward P. Jones,Contemporary Fiction,9780061159176,0,3.83,Amistad,Paperback,388.0,,2016/07/15,to-read
Jonathan Livingston Seagull,Richard Bach,Classics,9780743278904,5,3.85,Scribner,Paperback,112.0,,2016/07/07,read
Meet Mr. Mulliner,P.G. Wodehouse,Contemporary Fiction,9781585672752,4,04.05,Harry N. Abrams,Hardcover,203.0,,2016/04/01,read
The Catcher in the Rye,J.D. Salinger,Contemporary Fiction,9780316769174,4,3.81,Back Bay Books,Paperback,277.0,,2016/04/01,read
Oblomov,Ivan Goncharov,Classics,9781933480091,3,4.11,Bunim & Bannigan Ltd,Paperback,586.0,,2016/04/01,read
Crime and Punishment,Fyodor Dostoevsky,Classics,9780143058144,5,4.26,Penguin,Paperback,671.0,,2016/04/01,read
Alice in Wonderland,Jane Carruth,Classics,9780517223628,4,04.03,Gramercy,Hardcover,96.0,,2016/04/01,read
The Old Man and the Sea,Ernest Hemingway,Contemporary Fiction,9780684830490,4,3.8,Scribner,Hardcover,96.0,,2016/04/01,read
Fahrenheit 451,Ray Bradbury,Contemporary Fiction,9780007491568,3,3.97,Harper Voyager,Hardcover,227.0,,2016/04/01,read